争议一级,争议二级,争议焦点,裁判观点,裁判依据,说理,判例
民间借贷关系的认定,民间借贷关系主体范围,民间借贷关系主体范围,民间借贷的主体包括金融机构之外的企业、自然人等。小额借贷公司、民间互助会不属于金融机构，其借贷关系属于民间借贷。,"《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》（2020第二次修正）第1条：“本规定所称的民间借贷，是指自然人、法人和非法人组织之间进行资金融通的行为。经金融监管部门批准设立的从事贷款业务的金融机构及其分支机构，因发放贷款等相关金融业务引发的纠纷，不适用本规定。”
《最高人民法院关于新民间借贷司法解释适用范围问题的批复》（法释〔2020〕27号）：“一、关于适用范围问题。经征求金融监管部门意见，由地方金融监管部门监管的小额贷款公司、融资担保公司、区域性股权市场、典当行、融资租赁公司、商业保理公司、地方资产管理公司等七类地方金融组织，属于经金融监管部门批准设立的金融机构，其因从事相关金融业务引发的纠纷，不适用新民间借贷司法解释。”","经金融监管部门批准设立的从事贷款业务的金融机构及其分支机构，因发当贷款等金融业务引发的纠纷，不是民间借贷纠纷。小额借贷公司“只贷不存”，无须取得金融许可证，性质上不是金融机构。
“标会”、“社”均是民间用以融资的组织形式，具有筹措资金和赚取利益的双重功能，当事人因资金紧张进行标会活动，系民间调剂资金的互助行为，双方就结欠的款项出具欠条不违反法律法规的强制性规定，属合法的民间借贷。","北京市昌平区法院（2008）昌民初字第9285号；最高人民法院（2016）最高法民申字第2827号
浙江省台州市中级人民法院（2010）浙台商终字第382号",,,
民间借贷关系的认定,民间借贷关系主体范围,P2P网络借贷属性,P2P网络借贷属于民间借贷。,《网络借贷信息中介机构业务活动管理暂行办法》第2条第2款：“本办法所称网络借贷是指个体和个体之间通过互联网平台实现的直接借贷。个体包含自然人、法人及其他组织。网络借贷信息中介机构是指依法设立，专门从事网络借贷信息中介业务活动的金融信息中介公司。该类机构以互联网为主要渠道，为借款人与出借人（即出借人）实现直接借贷提供信息搜集、信息公布、资信评估、信息交互、借贷撮合等服务。”,互联网络借贷无非是线下交易向线上网络平台交易的转变而已，其借贷的本质并未改变。,辽宁省沈阳市中级人民法院（2017）辽01民终字第266号,,,
民间借贷关系的认定,特殊标的借贷,非金钱物品借用属性,借用非金钱的物品不属于民间借贷。,《民法典》667条：“借款合同是借款人向出借人借款，到期返还借款并支付利息的合同。”,民间借贷只包括金钱借贷，包括人民币、外币、有价证券等。,王兰与李石民间借款纠纷案,,,
民间借贷关系的认定,特殊标的借贷,出借信用卡属性,对于借刷信用卡的行为目前没有统一的认定，存在认定为民间借贷或不认定为民间借贷的两种观点。,"《民法典》第667条：“借款合同是借款人向出借人借款，到期返还借款并支付利息的合同。”
《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第1条：“本规定所称的民间借贷，是指自然人、法人、其他组织之间及其相互之间进行资金融通的行为。经金融监管部门批准设立的从事贷款业务的金融机构及其分支机构，因发放贷款等相关金融业务引发的纠纷，不适用本规定。”",民间借贷出借人出借的资金必须是其合法收入的自有资金，出借信用卡给他人使用、通过网络贷款向他人转贷均属于套取金融机构资金转贷的行为，不但违反了与发卡行、贷款方的合同，而且违反了相关法律法规的规定，扰乱了金融秩序，损害了社会公共利益。,"（2015）一中民（商）终字第6428号
福建省安溪县法院（2015）安民初字第1941号                
（2021）豫07民终526号",,,
民间借贷关系的认定,特殊标的借贷,非人民币借贷属性,当事人之间以外币为自然人民间借贷合同标的物，应认定借贷合同有效。外币或国库券、承兑汇票等有价证券也可以是民间借贷的标的物。,《最高法关于人民法院审理借贷案件的若干意见》第2条：“因借贷外币、台币和国库券等有价证券发生纠纷诉讼到法院的，应按借贷案件受理”。（该意见已失效）,从法理上，外币自得是民间借贷合同的标的物，唯出借外币的行为应遵守我国关于外汇管理的法律、行政法规及有关规章的规定。,原告王兰与被告李石民间借贷纠纷案；浙江省青田县人民法院（2015 ）丽青商初字第102号,,,
民间借贷关系的认定,自然人间借贷身份关系,亲属关系借贷行为定性,亲属间可以形成债权债务关系。认定直系亲属间借贷关系时应考虑当事人经济情况及依法承担的赡养、抚养义务等问题，要更强调公序良俗与保护弱者利益。,《民法典》142条1款：有相对人的意思表示的解释，应当按照所使用的词句，结合相关条款、行为的性质和目的、习惯以及诚信原则，确定意思表示的含义。,直系亲属之间可以形成借贷关系。但是，对直系亲属之间的交易关系，尤其是对第三人的债权转让关系的审查和确认，应考虑到特定当事人的经济状况、子女应承担的赡养义务等具体情况。因此，在将父母与子女之间形成的借贷债权转让给第三人时，应符合社会主义家庭道德观念与善良习俗，优先考虑保护老年人等弱势群体的合法权益，符合实体正义的要求。,浙江省高级人民法院（2008）民二终字第139号,,,
民间借贷关系的认定,自然人间借贷身份关系,情感纠葛借贷行为定性,因情感纠葛出具借条而无款项交付的，不构成民间借贷，有款项交付的可构成民间借贷。,"《民法典》第679条：“自然人之间的借款合同，自出借人提供借款时成立。”
",自然人间的民间借贷合同属于实践合同，债权人在起诉时除证明借贷合意存在外，还有义务举证证明款项已经实际交付。,北京市第一中级人民法院（2016）京01民终1325号,,,
民间借贷关系的认定,民间借贷关系成立时间点,自然人借款合同成立时间点,自然人之间的借贷是实践性合同，借款合同自出借人实际提供借款时成立。只有借贷协议，但是不能证明实际提供借款的，借贷合同不能成立。,"《民法典》第136条：“民事法律行为自成立时生效，但是法律另有规定或者当事人另有约定的除外。”
第469条：“当事人订立合同，可以采用书面形式、口头形式或者其他形式。”
第668条：“借款合同应当采用书面形式，但是自然人之间借款另有约定的除外。”
第679条：“自然人之间的借款合同，自出借人提供借款时成立。”
《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》（2020第二次修正）第9条：“自然人之间的借款合同具有下列情形之一的，可以视为合同成立：（一）以现金支付的，自借款人收到借款时；（二）以银行转账、网上电子汇款等形式支付的，自资金到达借款人账户时；（三）以票据交付的，自借款人依法取得票据权利时；（四）出借人将特定资金账户支配权授权给借款人的，自借款人取得对该账户实际支配权时；（五）出借人以与借款人约定的其他方式提供借款并实际履行完成时。”
《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》（2020第二次修正）第15条：“原告仅依据借据、收据、欠条等债权凭证提起民间借贷诉讼，被告抗辩已经偿还借款的，被告应当对其主张提供证据证明。被告提供相应证据证明其主张后，原告仍应就借贷关系的存续承担举证责任。被告抗辩借贷行为尚未实际发生并能作出合理说明的，人民法院应当结合借贷金额、款项交付、当事人的经济能力、当地或者当事人之间的交易方式、交易习惯、当事人财产变动情况以及证人证言等事实和因素，综合判断查证借贷事实是否发生。”",民间借贷合同是实践性合同，除借条外，债权人需提供交付借款的证据，才能证明存在借贷关系。民间借贷合同的形式多样，可以口头存在，但是为实践性合同，需要交付借款。借款协议不同于借据，前者系证明双方借贷合意的主张证据之一，一般不能直接证明借款已实际交付，后者是证明借贷合意及借贷关系实际发生的主要证据。,"济南市中院（2020）鲁01民终3611号判决书
浙江省嘉兴市中级人民法院（2009）浙嘉商终字第197号
最高院（2013）民二终字第4号
（2010）沪一中民一（民）终字第2341号
浙江省杭州市中级人民法院（2011）浙杭商终字第582号
山东省高院（2017）鲁08民终3478号
杭州市中院（2013）浙杭商中字第945号
衡阳市中院（2009）衡中法民一初字第15号
（2015）沪一中民一（民）终字第983号
浙江省金华中院（2020）浙07民终695号",,,
民间借贷关系的认定,民间借贷关系成立时间点,非自然人借款合同成立时间点,除自然人与自然人之间的借贷合同外，其他民间借贷合同自双方当事人达成合意时成立。,"《民法典》第136条：“民事法律行为自成立时生效，但是法律另有规定或者当事人另有约定的除外。”
第483条：“承诺生效时合同成立，但是法律另有规定或者当事人另有约定的除外。”
第679条：“自然人之间的借款合同，自贷款人提供借款时成立。”",与自然人之间的借款合同不同，其他民间借贷合同应该自成立时生效，若当事人另有约定或者法律法规规定的，合同生效时间依当事人约定或法律法规确定。,最高院（2019）最高法民终1374号,,,
民间借贷关系的认定,借贷合意的证明,借贷合意证明责任,债权人对民间借贷法律关系存在及借贷合意内容承担举证责任，举证不足以证明借贷合意成立的，应认定借贷关系不成立。,"《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》（2020第二次修正）第15条：“原告仅依据借据、收据、欠条等债权凭证提起民间借贷诉讼，被告抗辩已经偿还借款的，被告应当对其主张提供证据证明。被告提供相应证据证明其主张后，原告仍应就借贷关系的存续承担举证责任。被告抗辩借贷行为尚未实际发生并能作出合理说明的，人民法院应当结合借贷金额、款项交付、当事人的经济能力、当地或者当事人之间的交易方式、交易习惯、当事人财产变动情况以及证人证言等事实和因素，综合判断查证借贷事实是否发生。”
《最高人民法院关于民事诉讼证据的若干规定》85条：“人民法院应当以证据能够证明的案件事实为根据依法作出裁判。
审判人员应当依照法定程序，全面、客观地审核证据，依据法律的规定，遵循法官职业道德，运用逻辑推理和日常生活经验，对证据有无证明力和证明力大小独立进行判断，并公开判断的理由和结果。”
《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》(2020修正)第91条：“人民法院应当依照下列原则确定举证证明责任的承担，但法律另有规定的除外：（一）主张法律关系存在的当事人，应当对产生该法律关系的基本事实承担举证证明责任；（二）主张法律关系变更、消灭或者权利受到妨害的当事人，应当对该法律关系变更、消灭或者权利受到妨害的基本事实承担举证证明责任。”",当事人对自己提出的诉讼请求所依据的事实有责任提供证据加以证明。没有证据或证据不足以证明当事人的事实主张的，由负有举证责任的当事人承担不利后果。民间借贷中，出借人应对民间借贷法律关系存在及借贷合意内容承担举证责任，没有证据或证据不足而无法达到高度盖然性的证明标准的，应认定借贷关系不成立。,"北京市第一中级人民法院（2008）一中民终字第14056号；（2014）一中民终字第2590号
北京市第一中级人民法院（2008）一中民终字第14056号
浙江省台州市中级人民法院（2011）浙台商终字第450号
北京市第一中级人民法院（2011）一中民终字第11889号
浙江省高级人民法院（2011）浙商提字第52号
福建省漳州市中级人民法院（2008）漳民终字第313号",,,
